CMS		mac single hex	mac proper	dhcpd.apollo	IP hex	ip dec	edf.zone	edf.rev	ipmc command
3001	eth0	80D336013D90	80:D3:36:01:3D:90	host apollo3001-0 {hardware ethernet 80:D3:36:01:3D:90; fixed-address apollo3001-0.edf.lo;}	C0A82400	192.168.36.0	apollo3001-0 IN A 192.168.36.0	0 IN PTR apollo3001-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D 90
	eth1	80D336013D91	80:D3:36:01:3D:91	host apollo3001-1 {hardware ethernet 80:D3:36:01:3D:91; fixed-address apollo3001-1.edf.lo;}	C0A82401	192.168.36.1	apollo3001-1 IN A 192.168.36.1	1 IN PTR apollo3001-1.edf.lo.	ethmacwr 1 80 D3 36 01 3D 91
	ipmc	80D336013D92	80:D3:36:01:3D:92	host ipmc3001 {hardware ethernet 80:D3:36:01:3D:92; fixed-address ipmc3001.edf.lo;}	C0A82402	192.168.36.2	ipmc3001 IN A 192.168.36.2	2 IN PTR ipmc3001.edf.lo.	ethmacwr 2 80 D3 36 01 3D 92
3002	eth0	80D336013D93	80:D3:36:01:3D:93	host apollo3002-0 {hardware ethernet 80:D3:36:01:3D:93; fixed-address apollo3002-0.edf.lo;}	C0A82403	192.168.36.3	apollo3002-0 IN A 192.168.36.3	3 IN PTR apollo3002-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D 93
	eth1	80D336013D94	80:D3:36:01:3D:94	host apollo3002-1 {hardware ethernet 80:D3:36:01:3D:94; fixed-address apollo3002-1.edf.lo;}	C0A82404	192.168.36.4	apollo3002-1 IN A 192.168.36.4	4 IN PTR apollo3002-1.edf.lo.	ethmacwr 1 80 D3 36 01 3D 94
	ipmc	80D336013D95	80:D3:36:01:3D:95	host ipmc3002 {hardware ethernet 80:D3:36:01:3D:95; fixed-address ipmc3002.edf.lo;}	C0A82405	192.168.36.5	ipmc3002 IN A 192.168.36.5	5 IN PTR ipmc3002.edf.lo.	ethmacwr 2 80 D3 36 01 3D 95
3003	eth0	80D336013D96	80:D3:36:01:3D:96	host apollo3003-0 {hardware ethernet 80:D3:36:01:3D:96; fixed-address apollo3003-0.edf.lo;}	C0A82406	192.168.36.6	apollo3003-0 IN A 192.168.36.6	6 IN PTR apollo3003-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D 96
	eth1	80D336013D97	80:D3:36:01:3D:97	host apollo3003-1 {hardware ethernet 80:D3:36:01:3D:97; fixed-address apollo3003-1.edf.lo;}	C0A82407	192.168.36.7	apollo3003-1 IN A 192.168.36.7	7 IN PTR apollo3003-1.edf.lo.	ethmacwr 1 80 D3 36 01 3D 97
	ipmc	80D336013D98	80:D3:36:01:3D:98	host ipmc3003 {hardware ethernet 80:D3:36:01:3D:98; fixed-address ipmc3003.edf.lo;}	C0A82408	192.168.36.8	ipmc3003 IN A 192.168.36.8	8 IN PTR ipmc3003.edf.lo.	ethmacwr 2 80 D3 36 01 3D 98
3004	eth0	80D336013D99	80:D3:36:01:3D:99	host apollo3004-0 {hardware ethernet 80:D3:36:01:3D:99; fixed-address apollo3004-0.edf.lo;}	C0A82409	192.168.36.9	apollo3004-0 IN A 192.168.36.9	9 IN PTR apollo3004-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D 99
	eth1	80D336013D9A	80:D3:36:01:3D:9A	host apollo3004-1 {hardware ethernet 80:D3:36:01:3D:9A; fixed-address apollo3004-1.edf.lo;}	C0A8240A	192.168.36.10	apollo3004-1 IN A 192.168.36.10	10 IN PTR apollo3004-1.edf.lo.	ethmacwr 1 80 D3 36 01 3D 9A
	ipmc	80D336013D9B	80:D3:36:01:3D:9B	host ipmc3004 {hardware ethernet 80:D3:36:01:3D:9B; fixed-address ipmc3004.edf.lo;}	C0A8240B	192.168.36.11	ipmc3004 IN A 192.168.36.11	11 IN PTR ipmc3004.edf.lo.	ethmacwr 2 80 D3 36 01 3D 9B
3005	eth0	80D336013D9C	80:D3:36:01:3D:9C	host apollo3005-0 {hardware ethernet 80:D3:36:01:3D:9C; fixed-address apollo3005-0.edf.lo;}	C0A8240C	192.168.36.12	apollo3005-0 IN A 192.168.36.12	12 IN PTR apollo3005-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D 9C
	eth1	80D336013D9D	80:D3:36:01:3D:9D	host apollo3005-1 {hardware ethernet 80:D3:36:01:3D:9D; fixed-address apollo3005-1.edf.lo;}	C0A8240D	192.168.36.13	apollo3005-1 IN A 192.168.36.13	13 IN PTR apollo3005-1.edf.lo.	ethmacwr 1 80 D3 36 01 3D 9D
	ipmc	80D336013D9E	80:D3:36:01:3D:9E	host ipmc3005 {hardware ethernet 80:D3:36:01:3D:9E; fixed-address ipmc3005.edf.lo;}	C0A8240E	192.168.36.14	ipmc3005 IN A 192.168.36.14	14 IN PTR ipmc3005.edf.lo.	ethmacwr 2 80 D3 36 01 3D 9E
3006	eth0	80D336013D9F	80:D3:36:01:3D:9F	host apollo3006-0 {hardware ethernet 80:D3:36:01:3D:9F; fixed-address apollo3006-0.edf.lo;}	C0A8240F	192.168.36.15	apollo3006-0 IN A 192.168.36.15	15 IN PTR apollo3006-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D 9F
	eth1	80D336013DA0	80:D3:36:01:3D:A0	host apollo3006-1 {hardware ethernet 80:D3:36:01:3D:A0; fixed-address apollo3006-1.edf.lo;}	C0A82410	192.168.36.16	apollo3006-1 IN A 192.168.36.16	16 IN PTR apollo3006-1.edf.lo.	ethmacwr 1 80 D3 36 01 3D A0
	ipmc	80D336013DA1	80:D3:36:01:3D:A1	host ipmc3006 {hardware ethernet 80:D3:36:01:3D:A1; fixed-address ipmc3006.edf.lo;}	C0A82411	192.168.36.17	ipmc3006 IN A 192.168.36.17	17 IN PTR ipmc3006.edf.lo.	ethmacwr 2 80 D3 36 01 3D A1
3007	eth0	80D336013DA2	80:D3:36:01:3D:A2	host apollo3007-0 {hardware ethernet 80:D3:36:01:3D:A2; fixed-address apollo3007-0.edf.lo;}	C0A82412	192.168.36.18	apollo3007-0 IN A 192.168.36.18	18 IN PTR apollo3007-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D A2
	eth1	80D336013DA3	80:D3:36:01:3D:A3	host apollo3007-1 {hardware ethernet 80:D3:36:01:3D:A3; fixed-address apollo3007-1.edf.lo;}	C0A82413	192.168.36.19	apollo3007-1 IN A 192.168.36.19	19 IN PTR apollo3007-1.edf.lo.	ethmacwr 1 80 D3 36 01 3D A3
	ipmc	80D336013DA4	80:D3:36:01:3D:A4	host ipmc3007 {hardware ethernet 80:D3:36:01:3D:A4; fixed-address ipmc3007.edf.lo;}	C0A82414	192.168.36.20	ipmc3007 IN A 192.168.36.20	20 IN PTR ipmc3007.edf.lo.	ethmacwr 2 80 D3 36 01 3D A4
3008	eth0	80D336013DA5	80:D3:36:01:3D:A5	host apollo3008-0 {hardware ethernet 80:D3:36:01:3D:A5; fixed-address apollo3008-0.edf.lo;}	C0A82415	192.168.36.21	apollo3008-0 IN A 192.168.36.21	21 IN PTR apollo3008-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D A5
	eth1	80D336013DA6	80:D3:36:01:3D:A6	host apollo3008-1 {hardware ethernet 80:D3:36:01:3D:A6; fixed-address apollo3008-1.edf.lo;}	C0A82416	192.168.36.22	apollo3008-1 IN A 192.168.36.22	22 IN PTR apollo3008-1.edf.lo.	ethmacwr 1 80 D3 36 01 3D A6
	ipmc	80D336013DA7	80:D3:36:01:3D:A7	host ipmc3008 {hardware ethernet 80:D3:36:01:3D:A7; fixed-address ipmc3008.edf.lo;}	C0A82417	192.168.36.23	ipmc3008 IN A 192.168.36.23	23 IN PTR ipmc3008.edf.lo.	ethmacwr 2 80 D3 36 01 3D A7
3009	eth0	80D336013DA8	80:D3:36:01:3D:A8	host apollo3009-0 {hardware ethernet 80:D3:36:01:3D:A8; fixed-address apollo3009-0.edf.lo;}	C0A82418	192.168.36.24	apollo3009-0 IN A 192.168.36.24	24 IN PTR apollo3009-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D A8
	eth1	80D336013DA9	80:D3:36:01:3D:A9	host apollo3009-1 {hardware ethernet 80:D3:36:01:3D:A9; fixed-address apollo3009-1.edf.lo;}	C0A82419	192.168.36.25	apollo3009-1 IN A 192.168.36.25	25 IN PTR apollo3009-1.edf.lo.	ethmacwr 1 80 D3 36 01 3D A9
	ipmc	80D336013DAA	80:D3:36:01:3D:AA	host ipmc3009 {hardware ethernet 80:D3:36:01:3D:AA; fixed-address ipmc3009.edf.lo;}	C0A8241A	192.168.36.26	ipmc3009 IN A 192.168.36.26	26 IN PTR ipmc3009.edf.lo.	ethmacwr 2 80 D3 36 01 3D AA
3010	eth0	80D336013DAB	80:D3:36:01:3D:AB	host apollo3010-0 {hardware ethernet 80:D3:36:01:3D:AB; fixed-address apollo3010-0.edf.lo;}	C0A8241B	192.168.36.27	apollo3010-0 IN A 192.168.36.27	27 IN PTR apollo3010-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D AB
